date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:15:36	20312/20312	---MCZ	200	added ('OK')	text/html	etag:W/%225405cef5-4f58%22	http://www.mrova.com/onePageResume/index.html	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/index.html	(from )
06:15:37	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2005%20Jun%202018%2001:46:14%20GMT	http://www.mrova.com/robots.txt		(from )
06:15:37	766/766	---M--	200	added ('OK')	image/x-icon	etag:%225405cef5-2fe%22	http://www.mrova.com/onePageResume/favicon.ico	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/favicon.ico	(from http://www.mrova.com/onePageResume/index.html)
06:15:38	730/730	---M--	200	added ('OK')	image/png	etag:%225405cef5-2da%22	http://www.mrova.com/onePageResume/apple-touch-icon-precomposed.png	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/apple-touch-icon-precomposed.png	(from http://www.mrova.com/onePageResume/index.html)
06:15:38	854/854	---M--	200	added ('OK')	image/png	etag:%225405cef5-356%22	http://www.mrova.com/onePageResume/apple-touch-icon-72x72-precomposed.png	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/apple-touch-icon-72x72-precomposed.png	(from http://www.mrova.com/onePageResume/index.html)
06:15:39	1189/1189	---M--	200	added ('OK')	image/png	etag:%225405cef5-4a5%22	http://www.mrova.com/onePageResume/apple-touch-icon-114x114-precomposed.png	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/apple-touch-icon-114x114-precomposed.png	(from http://www.mrova.com/onePageResume/index.html)
06:15:40	1475/1475	---M--	200	added ('OK')	image/png	etag:%225405cef5-5c3%22	http://www.mrova.com/onePageResume/apple-touch-icon-144x144-precomposed.png	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/apple-touch-icon-144x144-precomposed.png	(from http://www.mrova.com/onePageResume/index.html)
06:15:41	27231/27231	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://netdna.bootstrapcdn.com/font-awesome/3.2.1/css/font-awesome.css	D:/My%20Web%20Sites/theme2/netdna.bootstrapcdn.com/font-awesome/3.2.1/css/font-awesome.css	(from http://www.mrova.com/onePageResume/index.html)
06:15:42	2502/2502	---MCZ	200	added ('OK')	text/css	etag:W/%225405cef5-9c6%22	http://www.mrova.com/onePageResume/css/normalize.min.css	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/css/normalize.min.css	(from http://www.mrova.com/onePageResume/index.html)
06:15:42	17519/17519	---MCZ	200	added ('OK')	text/css	etag:W/%225405cef5-446f%22	http://www.mrova.com/onePageResume/css/main.css	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/css/main.css	(from http://www.mrova.com/onePageResume/index.html)
06:15:43	1526/1526	---MCZ	200	added ('OK')	application/javascript	etag:W/%225405cef5-5f6%22	http://www.mrova.com/onePageResume/js/vendor/jquery.hashchange.min.js	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/js/vendor/jquery.hashchange.min.js	(from http://www.mrova.com/onePageResume/index.html)
06:15:44	9376/9376	---MCZ	200	added ('OK')	application/javascript	etag:W/%225405cef5-24a0%22	http://www.mrova.com/onePageResume/js/vendor/jquery.easytabs.min.js	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/js/vendor/jquery.easytabs.min.js	(from http://www.mrova.com/onePageResume/index.html)
06:15:45	1143/1143	---MCZ	200	added ('OK')	application/javascript	etag:W/%225405cef5-477%22	http://www.mrova.com/onePageResume/js/main.js	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/js/main.js	(from http://www.mrova.com/onePageResume/index.html)
06:15:45	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%225405cef5-16b88%22	http://www.mrova.com/onePageResume/js/vendor/jquery-1.10.1.min.js	D:/My%20Web%20Sites/theme2/www.mrova.com/onePageResume/js/vendor/jquery-1.10.1.min.js	(from http://www.mrova.com/onePageResume/index.html)
06:15:46	208/208	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2005%20Jun%202018%2001:45:44%20GMT	https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-frc1/582546_344156198979857_678123957_n.jpg	D:/My%20Web%20Sites/theme2/fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-frc1/582546_344156198979857_678123957_n.e.delayed	(from http://www.mrova.com/onePageResume/index.html)
06:15:50	93057/93057	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.1/jquery.min.js	D:/My%20Web%20Sites/theme2/ajax.googleapis.com/ajax/libs/jquery/1.10.1/jquery.min.js	(from http://www.mrova.com/onePageResume/index.html)
06:15:55	184115/184115	---M--	200	added ('OK')	image/jpeg	etag:%225405cf70-2cf33%22	http://www.mrova.com/wp-content/uploads/2013/06/floor.jpg	D:/My%20Web%20Sites/theme2/www.mrova.com/wp-content/uploads/2013/06/floor.jpg	(from http://www.mrova.com/onePageResume/css/main.css)
